cid,entryTime,syncId
0,2019-01-09T17:41:49+05:30,01547035909026
0,2019-01-09T18:00:23+05:30,01547037022793
0,2019-01-09T18:01:07+05:30,01547037066297
71,2019-01-15T11:21:09+05:30,711547531468373
243,2019-01-25T17:34:11+05:30,2431548417849436
163,2019-01-22T14:32:41+05:30,1631548147759982
153,2019-01-22T12:06:25+05:30,1531548138984214
4,2018-11-26T13:02:56+05:30,41543217576427
175,2019-01-22T19:24:52+05:30,1751548165291664
381,2019-02-01T17:55:20+05:30,3811549023917137
319,2019-01-31T19:02:31+05:30,3191548941549476
356,2019-02-01T12:35:07+05:30,3561549004705781
336,2019-01-31T21:38:23+05:30,3361548950901421
205,2019-01-24T22:48:40+08:00,2051548341319243
278,2019-01-30T18:38:03+05:30,2781548853681114
375,2019-02-01T17:19:34+05:30,3751549021772836
78,2019-01-16T12:51:24+05:30,781547623283205
123456789,2018-11-26T16:45:21+05:30,1234567891543230921065
154,2019-01-22T12:15:41+05:30,1541548139539998
219,2019-01-24T20:03:41+05:30,2191548340419804
362,2019-02-01T13:06:49+05:30,3621549006607561
260,2019-01-29T13:30:49+05:30,2601548748847939
199,2019-01-23T16:33:52+05:30,1991548241429816
83,2019-01-16T16:17:52+05:30,831547635670882
23,2019-01-11T18:41:52+05:30,231547212222472
213,2019-01-24T19:05:37+05:30,2131548336935381
322,2019-01-31T19:31:48+05:30,3221548943307020
209,2019-01-24T21:09:02+08:00,2091548335341384
182,2019-01-22T20:50:31+05:30,1821548170430143
388,2019-02-01T21:06:26+05:30,3881549035384571
159,2019-01-22T14:34:37+05:30,1591548147875126
178,2019-01-22T19:53:07+05:30,1781548166985439
282,2019-01-30T19:25:39+05:30,2821548856538192
112,2019-01-18T17:12:24+05:30,1121547811679741
382,2019-02-01T18:30:15+05:30,3821549026012172
374,2019-02-01T17:07:07+05:30,3741549021023475
345,2019-02-01T11:25:58+05:30,3451549000555895
210,2019-01-24T18:44:23+05:30,2101548335662128
384,2019-02-01T20:01:30+05:30,3841549031487713
363,2019-02-01T13:11:09+05:30,3631549006868143
340,2019-01-31T22:09:48+05:30,3401548952786938
11,2019-01-08T11:29:59+05:30,111546927197914
11,2019-01-08T11:32:52+05:30,111546927371152
11,2019-01-08T20:18:06+05:30,111546958882546
11,2019-01-08T21:15:55+05:30,111546962344304
11,2019-01-11T17:27:40+05:30,111547207851013
11,2019-01-11T17:44:21+05:30,111547208852496
11,2019-01-19T17:21:47+05:30,111547898704136
11,2019-01-29T10:43:23+05:30,111548738801537
218,2019-01-24T22:21:11+08:00,2181548339670215
367,2019-02-01T16:05:14+05:30,3671549017312877
85,2019-01-16T16:34:30+05:30,851547636584980
302,2019-01-31T15:04:19+05:30,3021548927257927
294,2019-01-31T12:29:49+05:30,2941548917987523
69,2019-01-14T16:26:36+05:30,691547463304854
45,2019-01-11T22:46:27+05:30,451547226641694
358,2019-02-01T12:41:28+05:30,3581549005086672
270,2019-01-30T14:17:15+05:30,2701548838033977
276,2019-01-30T18:28:32+05:30,2761548853107617
124,2019-01-19T12:10:06+05:30,1241547879911613
8888,2018-11-26T16:43:35+05:30,88881543230814970
291,2019-01-31T12:06:19+05:30,2911548916577529
370,2019-02-01T16:28:49+05:30,3701549018726334
86,2019-01-16T16:55:43+05:30,861547637858388
